Statistical profiling result from nobloq.log, (5187 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%          Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/statuses/index.js:1:1
      1  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
      1    1.1%        LazyCompile: ~parse /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/content-type/index.js:106:16
      1  100.0%          LazyCompile: ~setCharset /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/utils.js:250:41
      1  100.0%            LazyCompile: ~send /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:107:25
      1    1.1%        LazyCompile: ~match /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/layer.js:110:39
      1  100.0%          LazyCompile: ~matchLayer /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:572:20
      1  100.0%            LazyCompile: ~next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      1    1.1%        LazyCompile: ~enable /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/node_modules/debug/src/debug.js:138:16
      1  100.0%          Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/node_modules/debug/src/node.js:1:1
      1  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
      1    1.1%        LazyCompile: ~callSiteToString /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/depd/lib/compat/index.js:21:76
      1  100.0%          LazyCompile: ~get /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/depd/lib/compat/index.js:54:16
      1  100.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/depd/index.js:1:1
      1    1.1%        LazyCompile: ~addColors /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/logform/colorize.js:36:19
      1  100.0%          LazyCompile: ~module.exports /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/logform/levels.js:9:18
      1  100.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/winston/lib/winston/config/index.js:1:1
      1    1.1%        LazyCompile: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/index.js:62:45
      1  100.0%          t std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::push_back(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
      1  100.0%            LazyCompile: ~Faker /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/index.js:24:16
      1    1.1%        LazyCompile: *realpathSync node:fs:2408:22
      1  100.0%          Function: ^toRealPath node:internal/modules/cjs/loader:393:20
      1  100.0%            Function: ^tryFile node:internal/modules/cjs/loader:384:17
      1    1.1%        Function: ~<anonymous> node:zlib:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1    1.1%        Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/whatwg-url/lib/utils.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1    1.1%        Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/send/node_modules/debug/src/node.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      1  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1    1.1%        Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/color/index.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1    1.1%        Function: ^stat node:internal/modules/cjs/loader:151:14
      1  100.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    1.1%        Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      1  100.0%          Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1    1.1%        Function: ^pipe /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/send/index.js:510:43
      1  100.0%          Function: ^serveStatic /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/serve-static/index.js:72:31
      1  100.0%            LazyCompile: *next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      1    1.1%        Function: ^pathtoRegexp /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/path-to-regexp/index.js:28:22
      1  100.0%          Function: ^Layer /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/layer.js:33:15
      1  100.0%            LazyCompile: ~route /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:491:29
      1    1.1%        Function: ^parseAcceptEncoding /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/negotiator/lib/encoding.js:31:29
      1  100.0%          Function: ^preferredEncodings /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/negotiator/lib/encoding.js:138:28
      1  100.0%            Function: ^encodings /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/negotiator/index.js:55:52
      1    1.1%        Function: ^parse /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/content-type/index.js:106:16
      1  100.0%          Function: ^setCharset /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/utils.js:250:41
      1  100.0%            Function: ^send /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:107:25
      1    1.1%        Function: ^onParserExecuteCommon node:_http_server:690:31
      1  100.0%          Function: ^onParserExecute node:_http_server:633:25
      1    1.1%        Function: ^normalize node:path:1127:12
      1  100.0%          Function: ^pipe /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/send/index.js:510:43
      1  100.0%            Function: ^serveStatic /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/serve-static/index.js:72:31
      1    1.1%        Function: ^generateSource /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:709:28
      1  100.0%          Function: ^compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:569:21
      1  100.0%            Function: ^compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:379:35
      1    1.1%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
     54    6.0%      Function: ^memoryUsage node:internal/process/per_thread:165:23
     54  100.0%        Function: ^<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/dist/server.js:749:27
     54  100.0%          Function: ^handle /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/layer.js:86:49
     53   98.1%            Function: ^next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/route.js:114:16
      1    1.9%            LazyCompile: ~next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/route.js:114:16
     31    3.4%      LazyCompile: *realpathSync node:fs:2408:22
     18   58.1%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
     11   61.1%          LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
     11  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      7   38.9%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      7  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     13   41.9%        Function: ^toRealPath node:internal/modules/cjs/loader:393:20
     12   92.3%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
     10   83.3%            Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      2   16.7%            Function: ^tryPackage node:internal/modules/cjs/loader:338:20
      1    7.7%          Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
     25    2.8%      LazyCompile: *scanLine /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:803:22
     15   60.0%        LazyCompile: *<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:730:32
     15  100.0%          t std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::push_back(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
     15  100.0%            Function: ^generateSource /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:709:28
     10   40.0%        Function: ^<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:730:32
      8   80.0%          t std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::push_back(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
      8  100.0%            Function: ^generateSource /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:709:28
      2   20.0%          LazyCompile: *compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:569:21
      2  100.0%            Function: ^compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:379:35
     24    2.7%      Function: ^compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:569:21
     24  100.0%        Function: ^compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:379:35
     24  100.0%          Function: ^handleCache /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:208:21
     24  100.0%            Function: ^tryHandleCache /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:252:24
     15    1.7%      Function: ^Hash node:internal/crypto/hash:58:14
     15  100.0%        Function: ^createHash node:crypto:129:20
     15  100.0%          Function: ^entitytag /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/etag/index.js:39:20
     15  100.0%            Function: ^etag /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/etag/index.js:70:15
     14    1.6%      Function: ^nextTick node:internal/process/task_queues:104:18
      5   35.7%        Function: ^emitReadable node:internal/streams/readable:563:22
      5  100.0%          Function: ^onEofChunk node:internal/streams/readable:533:20
      5  100.0%            Function: ^readableAddChunk node:internal/streams/readable:236:26
      4   28.6%        Function: ^onwrite node:internal/streams/writable:425:17
      4  100.0%          Function: ^afterWriteDispatched node:internal/stream_base_commons:159:30
      4  100.0%            Function: ^writevGeneric node:internal/stream_base_commons:126:23
      3   21.4%        Function: ^resume node:internal/streams/readable:978:16
      3  100.0%          Function: ^Readable.resume node:internal/streams/readable:964:37
      2   66.7%            Function: ^_dump node:_http_incoming:364:49
      1   33.3%            Function: ^Socket.resume node:net:630:35
      1    7.1%        Function: ^onDestroy node:internal/streams/destroy:73:21
      1  100.0%          Function: ^onError node:_http_incoming:374:17
      1  100.0%            Function: ^_destroy node:_http_incoming:176:55
      1    7.1%        Function: ^maybeReadMore node:internal/streams/readable:602:23
      1  100.0%          Function: ^addChunk node:internal/streams/readable:304:18
      1  100.0%            LazyCompile: ~readableAddChunk node:internal/streams/readable:236:26
     13    1.4%      Function: ^writeHead node:_http_server:269:19
     13  100.0%        Function: ^writeHead /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/on-headers/index.js:28:29
     13  100.0%          Function: ^_implicitHeader node:_http_server:264:68
     13  100.0%            Function: ^end /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/compression/index.js:92:28
     13    1.4%      Function: ^<anonymous> :1:20
     13  100.0%        Function: ^anonymous /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:684:59
     13  100.0%          Function: ^tryHandleCache /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:252:24
     13  100.0%            Function: ^exports.renderFile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:439:31
     12    1.3%      LazyCompile: *resolve node:path:1091:10
      6   50.0%        LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      4   66.7%          Function: ^trySelf node:internal/modules/cjs/loader:441:17
      4  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2   33.3%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1   50.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1   50.0%            Function: ^Module.load node:internal/modules/cjs/loader:969:33
      4   33.3%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      3   75.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      2   66.7%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1   33.3%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1   25.0%          LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2   16.7%        LazyCompile: *realpathSync node:fs:2408:22
      2  100.0%          LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      2  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
     12    1.3%      Function: ^compression /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/compression/index.js:59:31
      7   58.3%        LazyCompile: *next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      7  100.0%          Function: ^urlencodedParser /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/node_modules/body-parser/lib/types/urlencoded.js:79:36
      7  100.0%            LazyCompile: *next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      5   41.7%        Function: ^handle /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/layer.js:86:49
      5  100.0%          Function: ^trim_prefix /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:288:23
      5  100.0%            Function: ^<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:275:64
     10    1.1%      LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      6   60.0%        Function: ^Module.require node:internal/modules/cjs/loader:997:36
      6  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1   16.7%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/ne/address/index.js:1:1
      1   16.7%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/he/index.js:1:1
      1   16.7%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/he/address/index.js:1:1
      1   16.7%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/en/animal/index.js:1:1
      1   16.7%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/en/address/index.js:1:1
      1   16.7%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales.js:1:1
      4   40.0%        LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
      4  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1   25.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/zh_TW/address/index.js:1:1
      1   25.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/uk/internet/index.js:1:1
      1   25.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/sk/company/index.js:1:1
      1   25.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/pl/lorem/index.js:1:1
     10    1.1%      LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      9   90.0%        Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      8   88.9%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      8  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1   11.1%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1   10.0%        LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%            LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
      9    1.0%      Function: ^send /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:107:25
      9  100.0%        Function: ^done /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:1006:27
      9  100.0%          Function: ^tryHandleCache /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:252:24
      9  100.0%            Function: ^exports.renderFile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:439:31
      9    1.0%      Function: ^getOptions node:internal/fs/utils:314:20
      9  100.0%        Function: ^readFileSync node:fs:450:22
      9  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      5   55.6%            Function: ^Module.load node:internal/modules/cjs/loader:969:33
      4   44.4%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      9    1.0%      Function: ^expressInit /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/middleware/init.js:29:30
      7   77.8%        LazyCompile: *next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      7  100.0%          Function: ^query /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/middleware/query.js:39:24
      7  100.0%            LazyCompile: *next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      2   22.2%        Function: ^handle /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/layer.js:86:49
      2  100.0%          Function: ^trim_prefix /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:288:23
      2  100.0%            Function: ^<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:275:64
     67    3.5%    LazyCompile: *compileFunction node:vm:308:25
     47   70.1%      LazyCompile: *Module._compile node:internal/modules/cjs/loader:1055:37
     47  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
     47  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     30   63.8%            LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
     17   36.2%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
     20   29.9%      Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
     20  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
     20  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
     20  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     25    1.3%    LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
     14   56.0%      Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
     11   78.6%        LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     11  100.0%          Function: ^Module.require node:internal/modules/cjs/loader:997:36
     11  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      3   21.4%        Function: ^Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%          Function: ^Module.require node:internal/modules/cjs/loader:997:36
      3  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
     11   44.0%      LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
     11  100.0%        LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      9   81.8%          LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
      9  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      2   18.2%          Function: ^Module.require node:internal/modules/cjs/loader:997:36
      2  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
     24    1.2%    Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
     13   54.2%      Function: ^Module.load node:internal/modules/cjs/loader:969:33
     13  100.0%        Function: ^Module._load node:internal/modules/cjs/loader:757:24
     13  100.0%          Function: ^Module.require node:internal/modules/cjs/loader:997:36
     13  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
     11   45.8%      LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     10   90.9%        Function: ^Module.require node:internal/modules/cjs/loader:997:36
     10  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      2   20.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/fr_CH/address/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/id_ID/address/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/hy/address/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/ge/name/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/ge/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/fr_CA/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/fr/name/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/en/index.js:1:1
      1   10.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/de_AT/address/index.js:1:1
      1    9.1%        LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
      1  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1  100.0%            Function: ~<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/faker/lib/locales/zh_CN/name/index.js:1:1
     20    1.0%    LazyCompile: *realpathSync node:fs:2408:22
     12   60.0%      LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      7   58.3%        Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      4   57.1%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      4  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
      3   42.9%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
      5   41.7%        LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      5  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      4   80.0%            LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
